institutionID,branchNum,acctid,acctName,acctPwd,currencyIdList,ThirdSystemId,productNumList,reckoningtime,prodAcctType,validFlag,lastLoginValidFlag,loginTimes,priority,TradeDate,ReckoningStatus,Memo,CustID,CustPwd,ExchIdList,debtAutoPaidFlag,fileThirdSystemId,PBTBusinessType,defaultPortfolio,specDefaultPortfolio,arbDefaultPortfolio,hedgeDefaultPortfolio,acctPermitList,branchCode,ownertype,tradeThirdSystemId,settleAcctId,settleAcctPwd,attachacctID,attachThirdSystemId
ZZTT,38,llx001,llx001,,RMB,2101,,0.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2101,,,,
JGJG2,3,000000034567,风控B账户,,RMB,22,,20221008163005.0,3,,,0,0,20221014,0,,000000034567,,ALL,,,,,,,,,,,22,,,,
TOB,3,000000220419,TOB,Y3h9DWbUjCLdlBydkEVNRw==,RMB,22,,20221008162343.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
TOOB,3,000000220718,B账户,74rHzTnV+ETZTJbLz568Vg==,RMB,22,,20221008164038.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
TOOC,3,000000220719,C账户,G17gQSm7Kh2jSXp0K3kfQg==,RMB,22,,20221008164038.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,2301,,,,
TOOB,3,000000220728,Bzhanghu,UpJoNFYOiCF6bPBAEsjhsA==,RMB,22,,20221008164158.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
TOOD,3,000000220730,TOOD,fvpq9Xw8+vilJBZotF8wOg==,RMB,22,,20221008164318.0,3,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
Bsbl,3,000000890112,Bsbl,xJg9TOQ/xthLxrOy8KB4Sw==,RMB,22,,20221008164058.0,3,,,0,0,20221014,0,,Bsbl,fl9qZ8+7S4lqUaawyDprxA==,ALL,,,,,,,,,,,22,,,,
Csbl,3,000000890113,Csbl,SbTPveSvJUvirG30pyvF/Q==,RMB,22,,20221008164058.0,3,,,0,0,20221014,0,,Csbl,fl9qZ8+7S4lqUaawyDprxA==,ALL,,,,,,,,,,,2301,,,,
B机构,3,000020220228,B1产品,,RMB,22,,20221008162624.0,0,,,0,0,20221014,0,,,,ALL,,,,,,,,,,,22,,,,
